,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-1.72488019e-01  7.36818492e-01 -8.59539092e-01  2.36453698e-03
   2.28275712e-05  3.23293805e-01  7.32536763e-02  6.01065218e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[27.],[[[0 0 1 0 0]]],[[9.]],[4],[0.],[[0 0 0 0 0]],"[[-2.47001171e-01  7.37154245e-01 -8.61729026e-01  1.76382461e-03
   2.09075351e-05  4.18349117e-01  6.43384233e-02  5.15527785e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  3.00000000e-01]]"
2,[12.],[[[0 0 0 0 1]]],[[17.]],[1],[38.],[[0 0 0 0 0]],"[[-0.25722146  0.99549806  0.03220385  0.46392867  0.00165765  0.41278464
   0.04504952  0.0765795   1.          0.          0.          0.
   0.          0.4       ]]"
3,[0.],[[[1 0 0 0 0]]],[[0.001]],[4],[0.],[[0 0 0 0 0]],"[[7.87948787e-01 9.17634845e-01 4.92709428e-02 9.61721182e-01
  2.80945562e-04 5.93777862e-04 1.18736094e-02 2.55303979e-02
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 5.00000000e-01]]"
4,[3.],[[[1 0 0 0 0]]],[[1.]],[4],[0.],[[0 0 0 0 0]],"[[0.14449832 0.99017656 0.03465666 0.84969062 0.00102128 0.04133823
  0.03646047 0.07148939 0.         0.         0.         0.
  1.         0.6       ]]"
5,[30.],[[[0 0 0 0 1]]],[[20.]],[2],[30.],[[0 0 0 0 0]],"[[ 1.34719148e-01  9.98894215e-01 -2.61171043e-01  4.05394673e-01
   4.62919357e-04  8.36272687e-02  1.05365194e-01  4.05149937e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  7.00000000e-01]]"
6,[15.],[[[0 0 0 0 1]]],[[20.]],[1],[45.],[[0 0 0 0 0]],"[[0.11051033 0.99618518 0.0817465  0.87446272 0.00112608 0.04209622
  0.0298271  0.05248795 1.         0.         0.         0.
  0.         0.8       ]]"
7,[9.],[[[1 0 0 0 0]]],[[3.]],[4],[0.],[[0 0 0 0 0]],"[[-9.57629800e-01  1.90526158e-01  2.02332698e-02  9.08942166e-05
   1.43050289e-04  9.99509573e-01  1.93965927e-04  6.25237299e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[9.],[[[0 0 1 0 0]]],[[12.]],[1],[27.],[[0 0 0 0 0]],"[[-9.61922407e-01  1.87212512e-01  7.76621938e-01  3.23641486e-03
   5.71354060e-03  9.90975440e-01  7.05461061e-05  4.15343175e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-9.64283705e-01  5.17368793e-01  9.09469485e-01  3.34173851e-02
   1.10288290e-02  9.55371320e-01  1.69237275e-04  1.32102441e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
