,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[9.],[[[0 0 1 0 0]]],[[12.]],[1],[27.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.56125534e-01  7.88518727e-01 -3.08660090e-01  3.09001014e-04
   6.82720616e-02  9.30949092e-01  2.16829794e-04  2.53028702e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[16.5],[[[0 0 1 0 0]]],[[11.]],[2],[16.5],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.18146968e-01  9.38803077e-01 -5.64307749e-01  6.62282619e-05
   1.66983008e-02  9.83107805e-01  5.65746705e-05  7.11818939e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[15.],[[[0 0 1 0 0]]],[[10.]],[2],[15.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.63202834e-01  9.78008389e-01 -6.51745617e-01  3.31553638e-05
   1.01887519e-02  9.89702344e-01  3.29260329e-05  4.28720741e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[5.50272059],[[[0 0 1 0 0]]],[[10.]],[2],[24.49727941],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.93105471e-01  9.76195335e-01 -4.28933412e-01  7.22159675e-05
   3.47949490e-02  9.65006471e-01  5.92335309e-05  6.71268426e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[6.08676744],[[[0 0 1 0 0]]],[[9.]],[2],[20.91323256],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.97949302e-01  9.84270394e-01 -2.05850363e-01  1.74583023e-04
   1.12312570e-01  8.87297273e-01  1.08898210e-04  1.06619744e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[6.87338819],[[[0 0 1 0 0]]],[[9.]],[2],[20.12661181],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.99029756e-01  9.90993917e-01  1.19358115e-01  4.68049693e-04
   4.41108078e-01  5.58074892e-01  1.94664506e-04  1.54419366e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[0.27154293],[[[0 0 1 0 0]]],[[9.]],[0],[26.72845707],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.08425128e-01  9.92242038e-01  7.57428229e-01  1.69261813e-03
   9.64980483e-01  3.30249667e-02  1.98157912e-04  1.03741550e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[2.70624384],[[[0 1 0 0 0]]],[[5.]],[0],[12.29375616],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-7.94039845e-01  9.96208966e-01  9.42420423e-01  1.53458433e-03
   9.86369610e-01  1.18948705e-02  1.37245210e-04  6.36908735e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[4.64185251],[[[0 0 1 0 0]]],[[11.]],[0],[28.35814749],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.60018694e-01  9.99062002e-01  9.96647894e-01  4.93220810e-04
   9.90499914e-01  8.91568884e-03  6.28724520e-05  2.83795671e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.29997183],[[[0 1 0 0 0]]],[[8.]],[0],[23.70002817],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-7.19103694e-01  9.99648571e-01  9.98485029e-01  2.34368118e-03
   9.88776982e-01  8.64734221e-03  1.60546377e-04  7.14778289e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
