"id","action","reward"
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",5,0
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",10,16
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",8,18
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",7,6
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",13,17
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",8,14
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",10,15
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",10,2
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",10,29
"sim_data/gpt/gpt-3.5-turbo/experiment_201.csv",20,37
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",5,9
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",12,25
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",10,27
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",6,17
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",10,12
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",10,13
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",10,20
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",10,5
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",10,6
"sim_data/gpt/gpt-3.5-turbo/experiment_202.csv",5,4
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",10,2
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",8,5
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",5,10
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",11,16
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",6,5
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",7,11
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",12,15
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",9,16
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",15,43
"sim_data/gpt/gpt-3.5-turbo/experiment_203.csv",10,13
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",10,2
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",8,12
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",10,13
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",15,42
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",10,14
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",5,7
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",10,14
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",10,10
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",15,36
"sim_data/gpt/gpt-3.5-turbo/experiment_204.csv",5,10
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",8,0
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",3,7
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",10,29
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",15,3
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",5,3
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",15,20
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",10,12
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",10,15
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",12,23
"sim_data/gpt/gpt-3.5-turbo/experiment_205.csv",15,44
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",10,17
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",5,1
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",12,19
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",20,6
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",8,17
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",10,1
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",5,4
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",12,10
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",15,14
"sim_data/gpt/gpt-3.5-turbo/experiment_206.csv",10,15
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",10,7
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",12,31
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",15,3
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",10,26
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",9,22
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",10,28
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",12,16
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",20,30
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",20,31
"sim_data/gpt/gpt-3.5-turbo/experiment_207.csv",10,26
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",10,15
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",10,29
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",5,3
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",7,20
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",8,1
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",10,23
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",7,3
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",12,11
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",10,18
"sim_data/gpt/gpt-3.5-turbo/experiment_208.csv",10,11
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",5,8
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",10,26
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",5,12
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",15,17
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",12,15
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",10,1
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",7,6
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",8,13
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",15,27
"sim_data/gpt/gpt-3.5-turbo/experiment_209.csv",10,3
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",5,9
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",10,28
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",15,6
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",15,40
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",10,26
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",14,23
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",15,16
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",10,27
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",5,7
"sim_data/gpt/gpt-3.5-turbo/experiment_210.csv",17,13
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",5,14
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",15,21
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",10,29
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",10,24
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",13,9
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",7,2
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",3,5
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",12,5
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",10,10
"sim_data/gpt/gpt-3.5-turbo/experiment_211.csv",10,4
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",6,1
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",5,7
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",5,1
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",10,0
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",10,19
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",2,4
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",8,11
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",5,8
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",8,23
"sim_data/gpt/gpt-3.5-turbo/experiment_212.csv",13,19
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",10,29
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",10,28
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",8,16
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",5,7
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",15,19
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",15,18
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",5,7
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",15,12
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",5,14
"sim_data/gpt/gpt-3.5-turbo/experiment_213.csv",10,18
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",10,20
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",15,0
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",5,13
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",15,34
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",10,25
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",10,4
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",5,9
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",20,58
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",20,16
"sim_data/gpt/gpt-3.5-turbo/experiment_214.csv",10,17
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",10,9
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",10,18
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",5,7
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",15,31
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",12,3
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",5,12
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",10,27
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",5,5
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",10,6
"sim_data/gpt/gpt-3.5-turbo/experiment_215.csv",20,17
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",10,20
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",10,19
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",5,4
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",5,11
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",18,4
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",10,14
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",15,32
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",5,6
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",5,4
"sim_data/gpt/gpt-3.5-turbo/experiment_216.csv",10,22
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",10,4
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",5,6
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",12,2
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",10,12
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",8,22
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",15,38
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",11,8
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",9,15
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",12,5
"sim_data/gpt/gpt-3.5-turbo/experiment_217.csv",4,3
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",10,16
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",15,33
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",15,14
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",6,10
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",12,23
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",8,3
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",10,5
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",10,20
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",10,3
"sim_data/gpt/gpt-3.5-turbo/experiment_218.csv",10,13
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",5,10
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",10,22
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",15,10
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",10,5
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",4,2
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",12,31
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",10,9
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",13,23
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",5,1
"sim_data/gpt/gpt-3.5-turbo/experiment_219.csv",10,2
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",5,11
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",15,44
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",7,19
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",9,17
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",12,28
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",10,25
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",9,25
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",7,20
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",11,21
"sim_data/gpt/gpt-3.5-turbo/experiment_220.csv",15,22
"sim_data/gpt/gpt-3.5-turbo/experiment_221.csv",10,8
"sim_data/gpt/gpt-3.5-turbo/experiment_221.csv",6,2
"sim_data/gpt/gpt-3.5-turbo/experiment_221.csv",5,8
"sim_data/gpt/gpt-3.5-turbo/experiment_221.csv",7,12
