,r1,r2,rnn action,adv action,adv reward,real model action
0,1.0,0.0,[[1 0]],[1],[0.],
1,1.0,0.0,[[1 0]],[1],[1.],
2,1.0,0.0,[[1 0]],[1],[1.],
3,0.0,0.0,[[1 0]],[0],[1.],
4,1.0,0.0,[[0 1]],[1],[1.],
5,1.0,0.0,[[0 1]],[1],[0.],
6,1.0,0.0,[[1 0]],[1],[0.],
7,1.0,0.0,[[0 1]],[1],[1.],
8,1.0,0.0,[[0 1]],[1],[0.],
9,1.0,0.0,[[1 0]],[1],[0.],
10,1.0,0.0,[[0 1]],[1],[1.],
11,1.0,0.0,[[0 1]],[1],[0.],
12,1.0,0.0,[[1 0]],[1],[0.],
13,1.0,0.0,[[1 0]],[1],[1.],
14,1.0,1.0,[[1 0]],[3],[1.],
15,0.0,1.0,[[1 0]],[2],[1.],
16,0.0,1.0,[[1 0]],[2],[1.],
17,0.0,1.0,[[1 0]],[2],[1.],
18,0.0,1.0,[[1 0]],[2],[1.],
19,0.0,1.0,[[1 0]],[2],[1.],
20,0.0,1.0,[[1 0]],[2],[1.],
21,0.0,1.0,[[1 0]],[2],[1.],
22,0.0,1.0,[[1 0]],[2],[1.],
23,0.0,1.0,[[1 0]],[2],[1.],
24,0.0,1.0,[[1 0]],[2],[1.],
25,0.0,1.0,[[1 0]],[2],[1.],
26,0.0,1.0,[[1 0]],[2],[1.],
27,0.0,1.0,[[1 0]],[2],[1.],
28,0.0,1.0,[[1 0]],[2],[1.],
29,0.0,1.0,[[1 0]],[2],[1.],
30,0.0,1.0,[[1 0]],[2],[1.],
31,0.0,1.0,[[1 0]],[2],[1.],
32,0.0,1.0,[[1 0]],[2],[1.],
33,0.0,1.0,[[1 0]],[2],[1.],
34,0.0,1.0,[[1 0]],[2],[1.],
35,0.0,1.0,[[1 0]],[2],[1.],
36,0.0,1.0,[[1 0]],[2],[1.],
37,0.0,1.0,[[1 0]],[2],[1.],
38,0.0,1.0,[[1 0]],[2],[1.],
39,0.0,0.0,[[1 0]],[2],[1.],
40,0.0,0.0,[[1 0]],[2],[1.],
41,0.0,0.0,[[1 0]],[2],[1.],
42,0.0,0.0,[[1 0]],[2],[1.],
43,0.0,0.0,[[1 0]],[2],[1.],
44,0.0,0.0,[[1 0]],[2],[1.],
45,0.0,0.0,[[1 0]],[2],[1.],
46,0.0,0.0,[[1 0]],[2],[1.],
47,0.0,0.0,[[1 0]],[2],[1.],
48,0.0,0.0,[[1 0]],[2],[1.],
49,0.0,0.0,[[1 0]],[2],[1.],
50,0.0,0.0,[[1 0]],[2],[1.],
51,0.0,0.0,[[1 0]],[2],[1.],
52,0.0,0.0,[[1 0]],[2],[1.],
53,0.0,0.0,[[1 0]],[2],[1.],
54,0.0,0.0,[[1 0]],[2],[1.],
55,0.0,0.0,[[1 0]],[2],[1.],
56,0.0,0.0,[[1 0]],[2],[1.],
57,0.0,0.0,[[1 0]],[2],[1.],
58,0.0,0.0,[[1 0]],[2],[1.],
59,0.0,0.0,[[0 1]],[2],[1.],
60,1.0,0.0,[[1 0]],[3],[0.],
61,1.0,0.0,[[1 0]],[3],[1.],
62,0.0,0.0,[[1 0]],[2],[1.],
63,0.0,0.0,[[1 0]],[2],[1.],
64,0.0,0.0,[[1 0]],[2],[1.],
65,0.0,0.0,[[1 0]],[2],[1.],
66,0.0,0.0,[[1 0]],[2],[1.],
67,0.0,0.0,[[1 0]],[2],[1.],
68,0.0,0.0,[[1 0]],[2],[1.],
69,0.0,0.0,[[1 0]],[2],[1.],
70,0.0,0.0,[[1 0]],[2],[1.],
71,0.0,0.0,[[1 0]],[2],[1.],
72,0.0,0.0,[[1 0]],[2],[1.],
73,0.0,0.0,[[1 0]],[2],[1.],
74,0.0,0.0,[[1 0]],[2],[1.],
75,0.0,0.0,[[1 0]],[2],[1.],
76,0.0,0.0,[[1 0]],[2],[1.],
77,0.0,0.0,[[1 0]],[2],[1.],
78,0.0,0.0,[[1 0]],[2],[1.],
79,0.0,0.0,[[1 0]],[2],[1.],
80,0.0,0.0,[[1 0]],[2],[1.],
81,0.0,0.0,[[0 1]],[2],[1.],
82,1.0,0.0,[[0 1]],[1],[0.],
83,1.0,0.0,[[1 0]],[1],[0.],
84,1.0,0.0,[[1 0]],[1],[1.],
85,0.0,0.0,[[0 1]],[0],[1.],
86,1.0,0.0,[[1 0]],[1],[0.],
87,0.0,0.0,[[1 0]],[2],[1.],
88,0.0,0.0,[[1 0]],[2],[1.],
89,0.0,0.0,[[1 0]],[2],[1.],
90,0.0,0.0,[[1 0]],[2],[1.],
91,0.0,0.0,[[1 0]],[2],[1.],
92,0.0,0.0,[[1 0]],[2],[1.],
93,0.0,0.0,[[1 0]],[2],[1.],
94,0.0,0.0,[[1 0]],[2],[1.],
95,1.0,0.0,[[1 0]],[2],[1.],
96,1.0,0.0,[[1 0]],[2],[1.],
97,1.0,0.0,[[1 0]],[2],[1.],
98,1.0,0.0,[[1 0]],[2],[1.],
99,1.0,0.0,[[1 0]],[2],[1.],
