,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,adv_state
0,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-1.71697035e-01  8.36946547e-01 -9.56240058e-01  1.37309090e-03
   7.81568542e-06  1.74577460e-01  6.26571402e-02  7.61384547e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[33.],[[[0 0 1 0 0]]],[[11.]],[4],[0.],[[0 0 0 0 0]],"[[-2.52010047e-01  8.36960793e-01 -9.58014250e-01  1.07908424e-03
   7.67715846e-06  2.48185560e-01  5.85506372e-02  6.92176998e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[31.],[[[0 0 0 1 0]]],[[14.]],[3],[10.],[[0 0 0 0 0]],"[[-2.95199186e-01  9.18775022e-01 -7.30325520e-01  5.44509711e-03
   2.94264537e-05  3.72583151e-01  6.86259419e-02  5.53316355e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  4.00000000e-01]]"
3,[0.],[[[0 0 0 0 1]]],[[17.]],[0],[51.],[[0 0 0 0 0]],"[[-2.15295717e-01  9.74027455e-01 -3.23568583e-01  1.12940781e-01
   3.85199994e-04  4.57709968e-01  9.14764702e-02  3.37487638e-01
   0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   1.00000000e+00  5.00000000e-01]]"
4,[0.],[[[0 0 0 0 1]]],[[20.]],[0],[60.],[[0 0 0 0 0]],"[[-1.26595110e-01  9.93740261e-01 -1.46851391e-01  3.79290938e-01
   9.31859482e-04  3.10979724e-01  8.43036994e-02  2.24493742e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[30.],[[[0 0 1 0 0]]],[[10.]],[4],[0.],[[0 0 0 0 0]],"[[-3.21238935e-01  7.92156875e-01 -9.03348804e-01  1.13418861e-03
   1.23949267e-05  4.21120405e-01  5.55007830e-02  5.22232294e-01
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[0.],[[[0 0 1 0 0]]],[[12.]],[0],[36.],[[0 0 0 0 0]],"[[-6.38505697e-01  2.74979740e-01  8.76225770e-01  7.81165436e-02
   3.61236930e-02  8.85328591e-01  4.05783911e-04  2.53230792e-05
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[9.],[[[0 0 1 0 0]]],[[12.]],[1],[27.],[[0 0 0 0 0]],"[[-6.74112499e-01  2.37530917e-01  9.68528152e-01  7.61593431e-02
   4.76432778e-02  8.75923932e-01  2.61302601e-04  1.22463935e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[9.],[[[1 0 0 0 0]]],[[3.]],[4],[0.],[[0 0 0 0 0]],"[[-5.39345801e-01  3.89742441e-02  9.66597676e-01  6.81252107e-02
   8.13533962e-02  8.50244701e-01  2.67275725e-04  9.35641492e-06
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[30.],[[0 0 0 0 0]],"[[-5.59360981e-01  8.65454555e-01  9.93877649e-01  8.49638104e-01
   1.53167807e-02  1.34397343e-01  5.68353338e-04  7.93720465e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
