,0
0,228.0
1,267.0
2,273.0
3,202.0
4,105.0
5,279.0
6,281.0
7,291.0
8,215.0
9,221.0
10,251.0
11,193.0
12,163.0
13,237.0
14,219.0
15,199.0
16,278.0
17,222.0
18,252.0
19,194.0
20,213.0
21,241.0
22,224.0
23,268.0
24,193.0
25,220.0
26,139.0
27,267.0
28,263.0
29,313.0
30,291.0
31,177.0
32,240.0
33,257.0
34,294.0
35,229.0
36,252.0
37,300.0
38,267.0
39,244.0
40,201.0
41,180.0
42,280.0
43,254.0
44,247.0
45,170.0
46,236.0
47,255.0
48,200.0
49,222.0
50,262.0
51,208.0
52,286.0
53,244.0
54,186.0
55,253.0
56,238.0
57,244.0
58,249.0
59,263.0
60,262.0
61,261.0
62,255.0
63,247.0
64,249.0
65,252.0
66,295.0
67,220.0
68,128.0
69,157.0
70,276.0
71,318.0
72,298.0
73,196.0
74,194.0
75,213.0
76,273.0
77,227.0
78,226.0
79,184.0
80,241.0
81,243.0
82,266.0
83,306.0
84,240.0
85,188.0
86,245.0
87,261.0
88,206.0
89,217.0
90,228.0
91,197.0
92,238.0
93,252.0
94,252.0
95,196.0
96,265.0
97,242.0
98,155.0
99,327.0
100,248.0
101,244.0
102,305.0
103,226.0
104,217.0
105,219.0
106,229.0
107,250.0
108,289.0
109,244.0
110,232.0
111,300.0
112,260.0
113,221.0
114,242.0
115,191.0
116,225.0
117,199.0
118,249.0
119,295.0
120,255.0
121,275.0
122,288.0
123,247.0
124,227.0
125,310.0
126,311.0
127,254.0
128,254.0
129,204.0
130,234.0
131,232.0
132,246.0
133,304.0
134,231.0
135,231.0
136,281.0
137,228.0
138,174.0
139,197.0
140,214.0
141,241.0
142,212.0
143,250.0
144,232.0
145,237.0
146,238.0
147,256.0
148,322.0
149,268.0
150,235.0
151,226.0
152,279.0
153,215.0
154,183.0
155,270.0
156,195.0
157,262.0
158,203.0
159,272.0
160,207.0
161,274.0
162,219.0
163,198.0
164,230.0
165,256.0
166,218.0
167,242.0
168,264.0
169,262.0
170,223.0
171,243.0
172,181.0
173,233.0
174,260.0
175,259.0
176,252.0
177,201.0
178,182.0
179,255.0
180,161.0
181,201.0
182,291.0
183,198.0
184,192.0
185,213.0
186,204.0
187,357.0
188,253.0
189,204.0
190,229.0
191,214.0
192,190.0
193,246.0
194,300.0
195,237.0
196,252.0
197,246.0
198,273.0
199,259.0
