"id","action","reward"
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,13
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,21
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,6
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,15
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,27
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,28
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,27
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,3
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,16
"sim_data/deepseek/deepseek-chat/experiment_0.csv",10,29
"sim_data/deepseek/deepseek-chat/experiment_1.csv",10,27
"sim_data/deepseek/deepseek-chat/experiment_1.csv",10,3
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,7
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,13
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,9
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,14
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,3
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,4
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_1.csv",5,1
"sim_data/deepseek/deepseek-chat/experiment_10.csv",10,5
"sim_data/deepseek/deepseek-chat/experiment_10.csv",10,3
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,6
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,1
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,10
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,9
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,9
"sim_data/deepseek/deepseek-chat/experiment_10.csv",5,11
"sim_data/deepseek/deepseek-chat/experiment_100.csv",10,24
"sim_data/deepseek/deepseek-chat/experiment_100.csv",10,21
"sim_data/deepseek/deepseek-chat/experiment_100.csv",10,21
"sim_data/deepseek/deepseek-chat/experiment_100.csv",10,1
"sim_data/deepseek/deepseek-chat/experiment_100.csv",10,1
"sim_data/deepseek/deepseek-chat/experiment_100.csv",5,1
"sim_data/deepseek/deepseek-chat/experiment_100.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_100.csv",5,3
"sim_data/deepseek/deepseek-chat/experiment_100.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_100.csv",0,0
"sim_data/deepseek/deepseek-chat/experiment_101.csv",10,16
"sim_data/deepseek/deepseek-chat/experiment_101.csv",10,19
"sim_data/deepseek/deepseek-chat/experiment_101.csv",10,7
"sim_data/deepseek/deepseek-chat/experiment_101.csv",10,4
"sim_data/deepseek/deepseek-chat/experiment_101.csv",5,14
"sim_data/deepseek/deepseek-chat/experiment_101.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_101.csv",5,9
"sim_data/deepseek/deepseek-chat/experiment_101.csv",5,12
"sim_data/deepseek/deepseek-chat/experiment_101.csv",5,6
"sim_data/deepseek/deepseek-chat/experiment_101.csv",5,0
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,19
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,11
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,17
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,20
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,28
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,19
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,5
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,18
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,5
"sim_data/deepseek/deepseek-chat/experiment_102.csv",10,21
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,17
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,20
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,15
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,13
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,1
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,22
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,16
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,17
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,8
"sim_data/deepseek/deepseek-chat/experiment_103.csv",10,8
"sim_data/deepseek/deepseek-chat/experiment_104.csv",10,28
"sim_data/deepseek/deepseek-chat/experiment_104.csv",10,7
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,10
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,7
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,11
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,1
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,5
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,8
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,6
"sim_data/deepseek/deepseek-chat/experiment_104.csv",5,10
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,17
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,10
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,24
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,24
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,4
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,3
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,4
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,23
"sim_data/deepseek/deepseek-chat/experiment_105.csv",10,14
"sim_data/deepseek/deepseek-chat/experiment_105.csv",5,4
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,10
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,24
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,20
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,11
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,21
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,12
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,28
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,6
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,8
"sim_data/deepseek/deepseek-chat/experiment_106.csv",10,7
"sim_data/deepseek/deepseek-chat/experiment_107.csv",10,3
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,2
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,8
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,13
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,12
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,10
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,11
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,14
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,9
"sim_data/deepseek/deepseek-chat/experiment_107.csv",5,3
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,8
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,9
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,12
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,8
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,16
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,21
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,9
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,6
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,19
"sim_data/deepseek/deepseek-chat/experiment_108.csv",10,10
"sim_data/deepseek/deepseek-chat/experiment_109.csv",10,9
"sim_data/deepseek/deepseek-chat/experiment_109.csv",10,7
"sim_data/deepseek/deepseek-chat/experiment_109.csv",10,22
"sim_data/deepseek/deepseek-chat/experiment_109.csv",10,12
"sim_data/deepseek/deepseek-chat/experiment_109.csv",10,2
"sim_data/deepseek/deepseek-chat/experiment_109.csv",10,12
"sim_data/deepseek/deepseek-chat/experiment_109.csv",5,4
"sim_data/deepseek/deepseek-chat/experiment_109.csv",5,10
"sim_data/deepseek/deepseek-chat/experiment_109.csv",5,2
"sim_data/deepseek/deepseek-chat/experiment_109.csv",5,3
"sim_data/deepseek/deepseek-chat/experiment_11.csv",10,3
"sim_data/deepseek/deepseek-chat/experiment_11.csv",10,24
"sim_data/deepseek/deepseek-chat/experiment_11.csv",10,4
"sim_data/deepseek/deepseek-chat/experiment_11.csv",10,15
"sim_data/deepseek/deepseek-chat/experiment_11.csv",10,24
