,r1,r2,rnn action,adv action,adv reward,real model action
0,1.0,0.0,[[1 0]],[1],[0.],
1,1.0,0.0,[[1 0]],[1],[1.],
2,1.0,0.0,[[1 0]],[1],[1.],
3,0.0,0.0,[[1 0]],[0],[1.],
4,1.0,0.0,[[0 1]],[1],[1.],
5,1.0,0.0,[[1 0]],[1],[0.],
6,1.0,0.0,[[1 0]],[1],[1.],
7,1.0,1.0,[[1 0]],[3],[1.],
8,0.0,1.0,[[1 0]],[2],[1.],
9,0.0,1.0,[[1 0]],[2],[1.],
10,0.0,1.0,[[1 0]],[2],[1.],
11,0.0,1.0,[[1 0]],[2],[1.],
12,0.0,1.0,[[1 0]],[2],[1.],
13,0.0,1.0,[[1 0]],[2],[1.],
14,0.0,1.0,[[1 0]],[2],[1.],
15,0.0,1.0,[[1 0]],[2],[1.],
16,0.0,1.0,[[1 0]],[2],[1.],
17,0.0,1.0,[[1 0]],[2],[1.],
18,0.0,1.0,[[1 0]],[2],[1.],
19,0.0,1.0,[[1 0]],[2],[1.],
20,0.0,1.0,[[1 0]],[2],[1.],
21,0.0,1.0,[[1 0]],[2],[1.],
22,0.0,1.0,[[1 0]],[2],[1.],
23,0.0,1.0,[[1 0]],[2],[1.],
24,0.0,1.0,[[1 0]],[2],[1.],
25,0.0,1.0,[[1 0]],[2],[1.],
26,0.0,1.0,[[1 0]],[2],[1.],
27,0.0,1.0,[[1 0]],[2],[1.],
28,0.0,1.0,[[1 0]],[2],[1.],
29,0.0,1.0,[[1 0]],[2],[1.],
30,0.0,1.0,[[1 0]],[2],[1.],
31,0.0,1.0,[[1 0]],[2],[1.],
32,0.0,0.0,[[1 0]],[2],[1.],
33,0.0,0.0,[[1 0]],[2],[1.],
34,0.0,0.0,[[1 0]],[2],[1.],
35,0.0,0.0,[[1 0]],[2],[1.],
36,0.0,0.0,[[1 0]],[2],[1.],
37,0.0,0.0,[[1 0]],[2],[1.],
38,0.0,0.0,[[1 0]],[2],[1.],
39,0.0,0.0,[[1 0]],[2],[1.],
40,0.0,0.0,[[1 0]],[2],[1.],
41,0.0,0.0,[[1 0]],[2],[1.],
42,0.0,0.0,[[1 0]],[2],[1.],
43,0.0,0.0,[[0 1]],[2],[1.],
44,1.0,0.0,[[0 1]],[3],[0.],
45,1.0,0.0,[[1 0]],[1],[0.],
46,1.0,0.0,[[1 0]],[3],[1.],
47,1.0,0.0,[[1 0]],[3],[1.],
48,0.0,0.0,[[1 0]],[2],[1.],
49,0.0,0.0,[[1 0]],[2],[1.],
50,0.0,0.0,[[0 1]],[2],[1.],
51,1.0,0.0,[[1 0]],[1],[0.],
52,1.0,0.0,[[0 1]],[1],[1.],
53,1.0,0.0,[[1 0]],[1],[0.],
54,1.0,0.0,[[0 1]],[3],[1.],
55,1.0,0.0,[[1 0]],[3],[0.],
56,1.0,0.0,[[1 0]],[3],[1.],
57,0.0,0.0,[[1 0]],[2],[1.],
58,0.0,0.0,[[1 0]],[2],[1.],
59,0.0,0.0,[[1 0]],[2],[1.],
60,0.0,0.0,[[1 0]],[2],[1.],
61,0.0,0.0,[[1 0]],[2],[1.],
62,0.0,0.0,[[0 1]],[2],[1.],
63,1.0,0.0,[[0 1]],[1],[0.],
64,1.0,0.0,[[1 0]],[1],[0.],
65,1.0,0.0,[[1 0]],[1],[1.],
66,0.0,0.0,[[1 0]],[0],[1.],
67,1.0,0.0,[[1 0]],[3],[1.],
68,0.0,0.0,[[1 0]],[2],[1.],
69,0.0,0.0,[[1 0]],[2],[1.],
70,0.0,0.0,[[1 0]],[2],[1.],
71,0.0,0.0,[[1 0]],[2],[1.],
72,0.0,0.0,[[1 0]],[2],[1.],
73,0.0,0.0,[[1 0]],[2],[1.],
74,0.0,0.0,[[1 0]],[2],[1.],
75,0.0,0.0,[[1 0]],[2],[1.],
76,0.0,0.0,[[1 0]],[2],[1.],
77,0.0,0.0,[[1 0]],[2],[1.],
78,0.0,0.0,[[1 0]],[2],[1.],
79,0.0,0.0,[[1 0]],[2],[1.],
80,0.0,0.0,[[1 0]],[2],[1.],
81,0.0,0.0,[[1 0]],[2],[1.],
82,0.0,0.0,[[1 0]],[2],[1.],
83,0.0,0.0,[[1 0]],[2],[1.],
84,0.0,0.0,[[1 0]],[2],[1.],
85,0.0,0.0,[[0 1]],[2],[1.],
86,1.0,0.0,[[1 0]],[1],[0.],
87,1.0,0.0,[[1 0]],[1],[1.],
88,0.0,0.0,[[1 0]],[2],[1.],
89,0.0,0.0,[[1 0]],[2],[1.],
90,0.0,0.0,[[1 0]],[2],[1.],
91,0.0,0.0,[[1 0]],[2],[1.],
92,0.0,0.0,[[0 1]],[2],[1.],
93,1.0,0.0,[[1 0]],[1],[0.],
94,1.0,0.0,[[0 1]],[1],[1.],
95,0.0,0.0,[[1 0]],[1],[0.],
96,0.0,0.0,[[1 0]],[1],[1.],
97,0.0,0.0,[[0 1]],[1],[1.],
98,0.0,0.0,[[1 0]],[1],[0.],
99,0.0,0.0,[[1 0]],[0],[1.],
