,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[8.],[[[0 0 1 0 0]]],[[10.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.69668305e-01  7.55100548e-01 -2.62610346e-01  3.43695574e-04
   8.69573355e-02  9.12157774e-01  2.50891608e-04  2.90299475e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[0.],[[[0 0 1 0 0]]],[[10.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.31208134e-01  9.28341329e-01  9.87028360e-01  6.07550202e-04
   9.89960551e-01  9.30998754e-03  8.27756885e-05  3.91646900e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[0.],[[[0 1 0 0 0]]],[[7.]],[0],[15.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-6.50509655e-01  9.74989057e-01  9.97627795e-01  3.66952969e-03
   9.87403274e-01  8.60692654e-03  2.20734903e-04  9.94469083e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[9.],[[[0 1 0 0 0]]],[[7.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.47437763e-01  9.93530512e-01  9.92682874e-01  5.37935644e-04
   9.90263820e-01  9.10032354e-03  6.73919203e-05  3.05780959e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[9.],[[[0 1 0 0 0]]],[[7.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.89671648e-01  9.97473061e-01  9.96211469e-01  4.07258165e-04
   9.90554273e-01  8.95689894e-03  5.62078676e-05  2.54407951e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[9.],[[[0 1 0 0 0]]],[[5.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.95602965e-01  9.98957038e-01  9.96569693e-01  3.91648355e-04
   9.90584135e-01  8.94471444e-03  5.47099407e-05  2.47425978e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[9.],[[[0 1 0 0 0]]],[[5.]],[4],[0.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.96443033e-01  9.99563217e-01  9.96635079e-01  3.89455905e-04
   9.90588903e-01  8.94267205e-03  5.44565446e-05  2.46190757e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[5.],[[[0 1 0 0 0]]],[[5.]],[2],[4.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-9.16386604e-01  9.99786556e-01  9.97779429e-01  6.53556432e-04
   9.90409374e-01  8.82926118e-03  7.42921329e-05  3.34213910e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[5.],[[[0 1 0 0 0]]],[[6.]],[2],[4.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-8.74345899e-01  9.99896109e-01  9.97444093e-01  8.58546991e-04
   9.90198970e-01  8.81563313e-03  8.76391277e-05  3.93474402e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[5.],[[[0 1 0 0 0]]],[[8.]],[2],[4.],[[0 0 0 0 0]],[[[1. 0. 0. 0. 0.]]],[[3.]],"[[-8.47296476e-01  9.99943197e-01  9.97242987e-01  1.02323561e-03
   9.90029871e-01  8.80583096e-03  9.74667782e-05  4.37040144e-05
   1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
