,0
0,188.0
1,207.0
2,198.0
3,152.0
4,156.0
5,166.0
6,208.0
7,211.0
8,178.0
9,200.0
10,181.0
11,205.0
12,204.0
13,212.0
14,170.0
15,198.0
16,180.0
17,173.0
18,214.0
19,189.0
20,154.0
21,200.0
22,193.0
23,173.0
24,202.0
25,204.0
26,184.0
27,204.0
28,172.0
29,192.0
30,177.0
31,187.0
32,202.0
33,177.0
34,192.0
35,184.0
36,247.0
37,152.0
38,189.0
39,235.0
40,175.0
41,196.0
42,166.0
43,177.0
44,142.0
45,206.0
46,193.0
47,200.0
48,179.0
49,207.0
50,164.0
51,200.0
52,204.0
53,204.0
54,192.0
55,190.0
56,181.0
57,199.0
58,178.0
59,178.0
60,231.0
61,164.0
62,138.0
63,225.0
64,179.0
65,230.0
66,188.0
67,187.0
68,178.0
69,173.0
70,175.0
71,174.0
72,74.0
73,177.0
74,184.0
75,149.0
76,183.0
77,197.0
78,192.0
79,236.0
80,119.0
81,210.0
82,204.0
83,211.0
84,160.0
85,210.0
86,157.0
87,212.0
88,197.0
89,136.0
90,191.0
91,161.0
92,235.0
93,221.0
94,167.0
95,194.0
96,186.0
97,182.0
98,245.0
99,136.0
100,229.0
101,206.0
102,178.0
103,210.0
104,195.0
105,229.0
106,149.0
107,159.0
108,224.0
109,161.0
110,153.0
111,204.0
112,256.0
113,204.0
114,187.0
115,186.0
116,165.0
117,158.0
118,155.0
119,184.0
120,242.0
121,143.0
122,208.0
123,197.0
124,189.0
125,212.0
126,239.0
127,166.0
128,253.0
129,243.0
130,230.0
131,172.0
132,164.0
133,194.0
134,204.0
135,226.0
136,218.0
137,196.0
138,198.0
139,194.0
140,175.0
141,226.0
142,153.0
143,177.0
144,69.0
145,197.0
146,212.0
147,157.0
148,200.0
149,237.0
150,207.0
151,190.0
152,167.0
153,182.0
154,216.0
155,209.0
156,179.0
157,196.0
158,169.0
159,196.0
160,168.0
161,219.0
162,212.0
163,140.0
164,172.0
165,215.0
166,206.0
167,162.0
168,166.0
169,260.0
170,181.0
171,198.0
172,236.0
173,195.0
174,174.0
175,188.0
176,179.0
177,211.0
178,120.0
179,175.0
180,146.0
181,204.0
182,207.0
183,193.0
184,183.0
185,186.0
186,151.0
187,178.0
188,201.0
189,195.0
190,215.0
191,179.0
192,203.0
193,187.0
194,210.0
195,205.0
196,182.0
197,212.0
198,192.0
199,170.0
