,learner reward,learner action,learner action cont,adv action,adv reward,psudo reward,real model action,real_model action cont,adv_state
0,[8.],[[[0 0 1 0 0]]],[[11.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-8.69668305e-01  7.55100548e-01 -2.62610346e-01  3.43695574e-04
   8.69573355e-02  9.12157774e-01  2.50891608e-04  2.90299475e-04
   0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
   0.00000000e+00  2.00000000e-01]]"
1,[8.],[[[0 0 1 0 0]]],[[10.]],[1],[22.],[[0 0 0 0 0]],[[[0. 0. 1. 0. 0.]]],[[10.]],"[[-9.61588979e-01  9.02282953e-01 -2.33317271e-01  2.03385076e-04
   9.88611579e-02  9.00651813e-01  1.38730436e-04  1.44919381e-04
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  3.00000000e-01]]"
2,[12.],[[[0 0 1 0 0]]],[[12.]],[2],[12.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[8.]],"[[-9.93862808e-01  9.79843259e-01  9.84160900e-01  4.02732607e-04
   9.89947259e-01  9.56395920e-03  5.88730582e-05  2.71431563e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  4.00000000e-01]]"
3,[0.],[[[0 1 0 0 0]]],[[8.]],[0],[24.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[8.]],"[[-7.12036490e-01  9.92299020e-01  9.98434186e-01  2.45630415e-03
   9.88664627e-01  8.63680430e-03  1.67475198e-04  7.48676903e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  5.00000000e-01]]"
4,[6.],[[[0 1 0 0 0]]],[[7.]],[1],[18.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[8.]],"[[-9.53493536e-01  9.98411000e-01  9.95443761e-01  5.15265157e-04
   9.90420282e-01  8.97048786e-03  6.47641937e-05  2.92575332e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  6.00000000e-01]]"
5,[4.],[[[0 1 0 0 0]]],[[7.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.79759693e-01  9.99488473e-01  9.97748733e-01  4.33417328e-04
   9.90607023e-01  8.87541287e-03  5.79949083e-05  2.61791720e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  7.00000000e-01]]"
6,[4.],[[[0 1 0 0 0]]],[[7.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.84455526e-01  9.99826074e-01  9.97872591e-01  4.20341850e-04
   9.90624249e-01  8.87292717e-03  5.68830692e-05  2.56762050e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  8.00000000e-01]]"
7,[4.],[[[0 1 0 0 0]]],[[8.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.85287786e-01  9.99937296e-01  9.97895479e-01  4.18061943e-04
   9.90627170e-01  8.87249131e-03  5.66823874e-05  2.55846189e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  9.00000000e-01]]"
8,[4.],[[[0 1 0 0 0]]],[[7.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.85433996e-01  9.99974251e-01  9.97900128e-01  4.17661242e-04
   9.90627646e-01  8.87239911e-03  5.66451818e-05  2.55673385e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
9,[4.],[[[0 1 0 0 0]]],[[7.]],[1],[11.],[[0 0 0 0 0]],[[[0. 1. 0. 0. 0.]]],[[5.]],"[[-9.85459328e-01  9.99986470e-01  9.97901201e-01  4.17591451e-04
   9.90627885e-01  8.87237955e-03  5.66380077e-05  2.55639552e-05
   0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00  1.10000000e+00]]"
